player,team,stat_type,line_score,official
Naz Reid,MIN,Turnovers,1.5,True
Naz Reid,MIN,Two Pointers Attempted,3.5,True
Naz Reid,MIN,Pts+Rebs+Asts,14.5,False
Naz Reid,MIN,PTS,9.5,False
Naz Reid,MIN,Pts+Rebs,24.5,False
Naz Reid,MIN,FG Attempted,7.5,True
Naz Reid,MIN,Pts+Rebs,17.5,False
Naz Reid,MIN,Blocked Shots,1.5,True
Naz Reid,MIN,3-PT Made,0.5,False
Naz Reid,MIN,PTS,17.5,False
Naz Reid,MIN,Pts+Asts,14.5,False
Naz Reid,MIN,Pts+Rebs,11.5,False
Naz Reid,MIN,PTS,7.5,False
Naz Reid,MIN,AST,1.5,False
Naz Reid,MIN,Pts+Asts,9.5,False
Naz Reid,MIN,PTS,14.5,True
Naz Reid,MIN,Blocked Shots,0.5,False
Naz Reid,MIN,Pts+Asts,11.5,True
Naz Reid,MIN,REB,5.5,False
Naz Reid,MIN,REB,4.5,False
Naz Reid,MIN,AST,3.5,False
Naz Reid,MIN,Pts+Rebs+Asts,17.5,False
Naz Reid,MIN,Personal Fouls,3.0,True
Naz Reid,MIN,Rebs+Asts,9.5,False
Naz Reid,MIN,REB,9.5,False
Naz Reid,MIN,REB,8.5,False
Naz Reid,MIN,Steals,1.5,True
Naz Reid,MIN,Fantasy Score,21.0,True
Naz Reid,MIN,3-PT Made,3.5,False
Naz Reid,MIN,Pts+Rebs+Asts,19.5,True
Naz Reid,MIN,3-PT Made,2.5,True
Naz Reid,MIN,Pts+Rebs,18.5,True
Naz Reid,MIN,Rebs+Asts,11.5,True
Naz Reid,MIN,Pts+Asts,7.5,False
Naz Reid,MIN,Pts+Rebs+Asts,24.5,False
Naz Reid,MIN,REB,7.5,True
Naz Reid,MIN,Pts+Rebs,15.5,False
Naz Reid,MIN,Steals,0.5,False
Naz Reid,MIN,3-PT Made,1.5,False
Naz Reid,MIN,Pts+Asts,19.5,False
Naz Reid,MIN,PTS,19.5,False
Naz Reid,MIN,3-PT Attempted,4.5,True
Naz Reid,MIN,Pts+Rebs,19.5,False
Naz Reid,MIN,AST,2.5,True
Luguentz Dort,OKC,3-PT Made,1.5,False
Luguentz Dort,OKC,Blocked Shots,0.5,True
Luguentz Dort,OKC,AST,1.5,True
Luguentz Dort,OKC,Pts+Asts,7.5,False
Luguentz Dort,OKC,Rebs+Asts,7.5,True
Luguentz Dort,OKC,PTS,5.5,False
Luguentz Dort,OKC,AST,2.5,False
Luguentz Dort,OKC,Pts+Asts,8.5,False
Luguentz Dort,OKC,Pts+Rebs+Asts,12.0,False
Luguentz Dort,OKC,Fantasy Score,17.0,True
Luguentz Dort,OKC,Pts+Rebs,9.5,False
Luguentz Dort,OKC,Steals,0.5,False
Luguentz Dort,OKC,3-PT Made,2.5,True
Luguentz Dort,OKC,PTS,11.5,True
Luguentz Dort,OKC,Steals,1.5,True
Luguentz Dort,OKC,FG Made,2.5,True
Luguentz Dort,OKC,Pts+Rebs+Asts,14.5,True
Luguentz Dort,OKC,Steals,2.5,False
Luguentz Dort,OKC,Pts+Rebs,12.5,True
Luguentz Dort,OKC,REB,5.5,False
Luguentz Dort,OKC,Pts+Rebs,7.5,False
Luguentz Dort,OKC,Pts+Asts,11.5,True
Luguentz Dort,OKC,Rebs+Asts,4.5,False
Luguentz Dort,OKC,REB,2.5,False
Luguentz Dort,OKC,Turnovers,0.5,True
Luguentz Dort,OKC,Personal Fouls,3.0,True
Luguentz Dort,OKC,Pts+Rebs+Asts,19.5,False
Luguentz Dort,OKC,REB,4.5,True
Luguentz Dort,OKC,PTS,14.5,False
Luguentz Dort,OKC,Pts+Asts,14.5,False
Luguentz Dort,OKC,Pts+Rebs+Asts,9.5,False
Luguentz Dort,OKC,Pts+Rebs,10.5,False
Luguentz Dort,OKC,Pts+Rebs,19.5,False
Luguentz Dort,OKC,PTS,9.5,False
Luguentz Dort,OKC,Pts+Rebs,14.5,False
Luguentz Dort,OKC,3-PT Made,3.5,False
Luguentz Dort,OKC,AST,0.5,False
Kenrich Williams,OKC,Pts+Rebs,4.5,False
Kenrich Williams,OKC,Pts+Rebs,9.5,False
Kenrich Williams,OKC,Pts+Rebs+Asts,9.5,True
Kenrich Williams,OKC,PTS,5.5,True
Kenrich Williams,OKC,Rebs+Asts,2.5,True
Kenrich Williams,OKC,Pts+Rebs,5.0,True
Kenrich Williams,OKC,3-PT Made,1.5,True
Kenrich Williams,OKC,Turnovers,0.5,True
Kenrich Williams,OKC,3-PT Made,0.5,False
Kenrich Williams,OKC,Steals,0.5,True
Kenrich Williams,OKC,REB,3.5,True
Kenrich Williams,OKC,PTS,7.5,False
Kenrich Williams,OKC,REB,4.5,False
Kenrich Williams,OKC,REB,2.5,False
Kenrich Williams,OKC,Pts+Rebs+Asts,4.5,False
Kenrich Williams,OKC,PTS,4.5,False
Kenrich Williams,OKC,Pts+Rebs+Asts,14.5,False
Kenrich Williams,OKC,REB,1.5,False
Kenrich Williams,OKC,Pts+Asts,3.5,True
Jaden McDaniels,MIN,Pts+Rebs+Asts,14.5,False
Jaden McDaniels,MIN,Pts+Asts,9.5,False
Jaden McDaniels,MIN,PTS,19.5,False
Jaden McDaniels,MIN,PTS,14.5,False
Jaden McDaniels,MIN,Fantasy Score,26.0,True
Jaden McDaniels,MIN,FG Made,5.0,True
Jaden McDaniels,MIN,Personal Fouls,3.5,True
Jaden McDaniels,MIN,Steals,1.5,True
Jaden McDaniels,MIN,Rebs+Asts,7.0,False
Jaden McDaniels,MIN,PTS,9.5,False
Jaden McDaniels,MIN,Pts+Asts,14.5,True
Jaden McDaniels,MIN,3-PT Made,0.5,False
Jaden McDaniels,MIN,PTS,17.5,False
Jaden McDaniels,MIN,Rebs+Asts,7.5,False
Jaden McDaniels,MIN,REB,4.5,False
Jaden McDaniels,MIN,Pts+Rebs+Asts,29.5,False
Jaden McDaniels,MIN,Pts+Rebs,14.5,False
Jaden McDaniels,MIN,Pts+Rebs,18.0,True
Jaden McDaniels,MIN,Rebs+Asts,11.5,False
Jaden McDaniels,MIN,Pts+Rebs,19.5,False
Jaden McDaniels,MIN,Pts+Rebs+Asts,20.0,False
Jaden McDaniels,MIN,Pts+Rebs+Asts,24.5,True
Jaden McDaniels,MIN,REB,5.5,False
Jaden McDaniels,MIN,AST,3.5,True
Jaden McDaniels,MIN,REB,9.5,False
Jaden McDaniels,MIN,PTS,12.5,True
Jaden McDaniels,MIN,AST,2.5,False
Jaden McDaniels,MIN,REB,3.5,False
Jaden McDaniels,MIN,3-PT Made,1.5,True
Jaden McDaniels,MIN,Blocked Shots,0.5,False
Jaden McDaniels,MIN,PTS,8.5,False
Jaden McDaniels,MIN,Pts+Asts,11.5,False
Jaden McDaniels,MIN,Rebs+Asts,9.5,True
Jaden McDaniels,MIN,Steals,0.5,False
Jaden McDaniels,MIN,Steals,2.5,False
Jaden McDaniels,MIN,Dunks,0.5,True
Jaden McDaniels,MIN,3-PT Made,2.5,False
Jaden McDaniels,MIN,Blocked Shots,1.5,True
Jaden McDaniels,MIN,REB,7.5,True
Jaden McDaniels,MIN,Two Pointers Attempted,6.5,True
Jaden McDaniels,MIN,REB,8.5,False
Jaden McDaniels,MIN,PTS,11.5,False
Jaden McDaniels,MIN,Pts+Rebs,16.5,False
Jaden McDaniels,MIN,Pts+Rebs,24.5,False
Jaden McDaniels,MIN,3-PT Attempted,4.5,True
Jaden McDaniels,MIN,Free Throws Made,1.5,True
Jaden McDaniels,MIN,Pts+Asts,19.5,False
Jaden McDaniels,MIN,FG Attempted,11.0,True
Jalen Williams,OKC,Pts+Rebs+Asts,44.5,False
