player,line_score,predicted_avg,edge,pick
Anthony Edwards,39.5,23.6,-15.9,UNDER
Naz Reid,19.5,8.6,-10.9,UNDER
Anthony Edwards,34.5,23.6,-10.9,UNDER
Pascal Siakam,14.5,24.8,10.3,OVER
Myles Turner,24.5,14.4,-10.1,UNDER
Naz Reid,17.5,8.6,-8.9,UNDER
Shai Gilgeous-Alexander,40.5,31.6,-8.9,UNDER
Luguentz Dort,14.5,6.0,-8.5,UNDER
Obi Toppin,14.5,6.0,-8.5,UNDER
Karl-Anthony Towns,16.5,24.8,8.3,OVER
Aaron Nesmith,7.5,15.8,8.3,OVER
Jalen Brunson,39.5,31.2,-8.3,UNDER
Andrew Nembhard,19.5,11.4,-8.1,UNDER
Tyrese Haliburton,17.5,25.6,8.1,OVER
Shai Gilgeous-Alexander,39.5,31.6,-7.9,UNDER
Bennedict Mathurin,14.5,7.0,-7.5,UNDER
Pascal Siakam,17.5,24.8,7.3,OVER
Isaiah Hartenstein,14.5,7.2,-7.3,UNDER
Aaron Nesmith,8.5,15.8,7.3,OVER
Karl-Anthony Towns,17.5,24.8,7.3,OVER
Miles McBride,14.5,7.2,-7.3,UNDER
Jalen Brunson,38.5,31.2,-7.3,UNDER
OG Anunoby,11.5,18.6,7.1,OVER
Tyrese Haliburton,18.5,25.6,7.1,OVER
Nickeil Alexander-Walker,5.5,12.4,6.9,OVER
T.J. McConnell,14.5,7.6,-6.9,UNDER
Jalen Brunson,24.5,31.2,6.7,OVER
Jaden McDaniels,8.5,15.0,6.5,OVER
Mikal Bridges,24.5,18.0,-6.5,UNDER
Jalen Williams,29.5,23.2,-6.3,UNDER
Aaron Nesmith,9.5,15.8,6.3,OVER
Alex Caruso,14.5,8.4,-6.1,UNDER
Julius Randle,24.5,18.4,-6.1,UNDER
Cason Wallace,11.5,5.4,-6.1,UNDER
Andrew Nembhard,17.5,11.4,-6.1,UNDER
Tyrese Haliburton,19.5,25.6,6.1,OVER
Landry Shamet,7.5,1.4,-6.1,UNDER
OG Anunoby,24.5,18.6,-5.9,UNDER
Nickeil Alexander-Walker,6.5,12.4,5.9,OVER
Donte DiVincenzo,5.5,11.4,5.9,OVER
Julius Randle,12.5,18.4,5.9,OVER
Naz Reid,14.5,8.6,-5.9,UNDER
Anthony Edwards,29.5,23.6,-5.9,UNDER
Josh Hart,14.5,8.8,-5.7,UNDER
Isaiah Joe,9.5,3.8,-5.7,UNDER
Jalen Williams,17.5,23.2,5.7,OVER
Obi Toppin,11.5,6.0,-5.5,UNDER
Luguentz Dort,11.5,6.0,-5.5,UNDER
Jaden McDaniels,9.5,15.0,5.5,OVER
Mikal Bridges,12.5,18.0,5.5,OVER
Bennedict Mathurin,12.5,7.0,-5.5,UNDER
Mikal Bridges,23.5,18.0,-5.5,UNDER
Jalen Williams,28.5,23.2,-5.3,UNDER
Pascal Siakam,19.5,24.8,5.3,OVER
Karl-Anthony Towns,19.5,24.8,5.3,OVER
Mitchell Robinson,9.5,4.2,-5.3,UNDER
Myles Turner,19.5,14.4,-5.1,UNDER
OG Anunoby,13.5,18.6,5.1,OVER
Julius Randle,23.5,18.4,-5.1,UNDER
Donte DiVincenzo,6.5,11.4,4.9,OVER
Myles Turner,9.5,14.4,4.9,OVER
Nickeil Alexander-Walker,7.5,12.4,4.9,OVER
Pascal Siakam,29.5,24.8,-4.7,UNDER
Isaiah Joe,8.5,3.8,-4.7,UNDER
Karl-Anthony Towns,29.5,24.8,-4.7,UNDER
Ben Sheppard,7.5,2.8,-4.7,UNDER
Chet Holmgren,11.5,16.2,4.7,OVER
Jalen Williams,18.5,23.2,4.7,OVER
Jalen Brunson,26.5,31.2,4.7,OVER
Bennedict Mathurin,11.5,7.0,-4.5,UNDER
Jaden McDaniels,19.5,15.0,-4.5,UNDER
Mitchell Robinson,8.5,4.2,-4.3,UNDER
Miles McBride,11.5,7.2,-4.3,UNDER
Pascal Siakam,20.5,24.8,4.3,OVER
Isaiah Hartenstein,11.5,7.2,-4.3,UNDER
Rudy Gobert,4.5,8.8,4.3,OVER
Delon Wright,5.5,1.25,-4.25,UNDER
OG Anunoby,14.5,18.6,4.1,OVER
Anthony Edwards,19.5,23.6,4.1,OVER
Tyrese Haliburton,21.5,25.6,4.1,OVER
Shai Gilgeous-Alexander,27.5,31.6,4.1,OVER
Cason Wallace,9.5,5.4,-4.1,UNDER
Landry Shamet,5.5,1.4,-4.1,UNDER
Tyrese Haliburton,29.5,25.6,-3.9,UNDER
T.J. McConnell,11.5,7.6,-3.9,UNDER
Terrence Shannon,9.5,5.6,-3.9,UNDER
Andrew Nembhard,7.5,11.4,3.9,OVER
Mike Conley,11.5,7.6,-3.9,UNDER
Julius Randle,14.5,18.4,3.9,OVER
Donte DiVincenzo,7.5,11.4,3.9,OVER
Aaron Nesmith,12.0,15.8,3.8,OVER
Aaron Nesmith,19.5,15.8,-3.7,UNDER
Jalen Williams,19.5,23.2,3.7,OVER
Isaiah Joe,7.5,3.8,-3.7,UNDER
Chet Holmgren,12.5,16.2,3.7,OVER
Luguentz Dort,9.5,6.0,-3.5,UNDER
Jaden McDaniels,11.5,15.0,3.5,OVER
Obi Toppin,9.5,6.0,-3.5,UNDER
Mikal Bridges,14.5,18.0,3.5,OVER
Anthony Edwards,27.0,23.6,-3.4,UNDER
Chet Holmgren,19.5,16.2,-3.3,UNDER
Rudy Gobert,5.5,8.8,3.3,OVER
Josh Hart,5.5,8.8,3.3,OVER
Mitchell Robinson,7.5,4.2,-3.3,UNDER
Jalen Brunson,34.5,31.2,-3.3,UNDER
Karl-Anthony Towns,21.5,24.8,3.3,OVER
Delon Wright,4.5,1.25,-3.25,UNDER
Donte DiVincenzo,14.5,11.4,-3.1,UNDER
Myles Turner,17.5,14.4,-3.1,UNDER
Kenrich Williams,7.5,4.4,-3.1,UNDER
Landry Shamet,4.5,1.4,-3.1,UNDER
Shai Gilgeous-Alexander,28.5,31.6,3.1,OVER
Mike Conley,4.5,7.6,3.1,OVER
T.J. McConnell,4.5,7.6,3.1,OVER
Andrew Nembhard,14.5,11.4,-3.1,UNDER
Alex Caruso,11.5,8.4,-3.1,UNDER
Anthony Edwards,26.5,23.6,-2.9,UNDER
Andrew Nembhard,8.5,11.4,2.9,OVER
Shai Gilgeous-Alexander,34.5,31.6,-2.9,UNDER
Myles Turner,11.5,14.4,2.9,OVER
Alex Caruso,5.5,8.4,2.9,OVER
Karl-Anthony Towns,27.5,24.8,-2.7,UNDER
Rudy Gobert,11.5,8.8,-2.7,UNDER
Ben Sheppard,5.5,2.8,-2.7,UNDER
Miles McBride,4.5,7.2,2.7,OVER
Chet Holmgren,13.5,16.2,2.7,OVER
Josh Hart,11.5,8.8,-2.7,UNDER
Isaiah Hartenstein,4.5,7.2,2.7,OVER
